"sku","short_description","description","meta_description"
"IL-CONFIG-001","<p>La Ideal Lux Acqua PT1 Lampada Da Terra per Interni è una lampada da terra Ideal Lux dal design curato, ideale per illuminare e arredare ambienti interni con una luce elegante e funzionale. Presenta dimensioni D 135 × H 600 mm, base D 135 mm, 1 luce con attacco G9 e potenza G9 max 1 × 15W, alimentazione 220-240 V AC, protezione IP44, classe 1, struttura in alluminio e metallo e peso netto 1,5 kg. Le configurazioni disponibili comprendono Antracite e Coffee, così da scegliere la versione più adatta allo stile dell’ambiente e alle esigenze di illuminazione.</p>","<p>La Ideal Lux Acqua PT1 Lampada Da Terra per Interni è una lampada da terra Ideal Lux pensata per offrire un punto luce decorativo e funzionale, capace di completare l’arredo con una presenza elegante e facilmente integrabile in diversi contesti. Il suo design la rende adatta a chi cerca una lampada da terra moderna per illuminare con stile ambienti domestici e professionali.</p><p>La collezione Acqua si distingue per una costruzione curata: Corpo luce in alluminio tornito rifinito in vernice opaca con finitura antracite o coffee. Diffusore in vetro temperato. Questo dettaglio contribuisce a definire una lampada solida, piacevole da vedere e coerente con lo stile contemporaneo di Ideal Lux.</p><p>Sul piano tecnico, il prodotto presenta dimensioni D 135 × H 600 mm, base D 135 mm, 1 luce con attacco G9 e potenza G9 max 1 × 15W, alimentazione 220-240 V AC, protezione IP44, classe 1, struttura in alluminio e metallo e peso netto 1,5 kg, caratteristiche che lo rendono una soluzione pratica e coerente con l’uso quotidiano.</p><p>Le configurazioni disponibili comprendono Antracite e Coffee, così da scegliere la versione più adatta allo stile dell’ambiente e alle esigenze di illuminazione.</p><p>È indicata per valorizzare ingressi, zone living, percorsi interni e, dove previsto dal grado di protezione, anche spazi più esposti o ambienti outdoor protetti. La Acqua PT1 è quindi una scelta indicata per chi desidera una lampada da terra Ideal Lux con sorgente luminosa selezionabile, con varianti pensate per armonizzarsi con finiture, materiali e tonalità dell’ambiente.</p>","Lampada da terra Ideal Lux Acqua PT1 G9 in Antracite e Coffee: design elegante per soggiorno, camera e ambienti moderni."
"IL-CONFIG-002","<p>La Ideal Lux Agos PT H60 LED Lampada Da Terra per Interni è una lampada da terra Ideal Lux dal design curato, ideale per illuminare e arredare ambienti interni con una luce elegante e funzionale. Presenta dimensioni L 95 × H 600 × P 150 mm, base 95 × 120 mm, sorgente LED integrata da 6,5W, alimentazione 220-240 V AC, protezione IP54, classe 1, struttura in alluminio e metallo e peso netto 0,95 kg. Le configurazioni disponibili comprendono Antracite 3000K, Antracite 4000K, Coffee 3000K e Nero 3000K, così da scegliere la versione più adatta allo stile dell’ambiente e alle esigenze di illuminazione.</p>","<p>La Ideal Lux Agos PT H60 LED Lampada Da Terra per Interni è una lampada da terra Ideal Lux pensata per offrire un punto luce decorativo e funzionale, capace di completare l’arredo con una presenza elegante e facilmente integrabile in diversi contesti. Il suo design la rende adatta a chi cerca una lampada da terra moderna per illuminare con stile ambienti domestici e professionali.</p><p>La collezione Agos valorizza linee, finiture e proporzioni pensate per inserirsi con naturalezza nell’arredamento, offrendo una luce d’atmosfera adatta sia all’uso quotidiano sia a soluzioni decorative più ricercate.</p><p>Sul piano tecnico, il prodotto presenta dimensioni L 95 × H 600 × P 150 mm, base 95 × 120 mm, sorgente LED integrata da 6,5W, alimentazione 220-240 V AC, protezione IP54, classe 1, struttura in alluminio e metallo e peso netto 0,95 kg, caratteristiche che lo rendono una soluzione pratica e coerente con l’uso quotidiano.</p><p>Le configurazioni disponibili comprendono Antracite 3000K, Antracite 4000K, Coffee 3000K e Nero 3000K, così da scegliere la versione più adatta allo stile dell’ambiente e alle esigenze di illuminazione.</p><p>È indicata per valorizzare ingressi, zone living, percorsi interni e, dove previsto dal grado di protezione, anche spazi più esposti o ambienti outdoor protetti. La Agos PT H60 LED è quindi una scelta indicata per chi desidera una lampada da terra Ideal Lux con tecnologia LED, con varianti pensate per armonizzarsi con finiture, materiali e tonalità dell’ambiente.</p>","Lampada da terra Ideal Lux Agos PT H60 LED in Antracite, Coffee e Nero: design elegante per soggiorno, camera e ambienti moderni."
"IL-CONFIG-003","<p>La Ideal Lux Agos PT H80 LED Lampada Da Terra per Interni è una lampada da terra Ideal Lux dal design curato, ideale per illuminare e arredare ambienti interni con una luce elegante e funzionale. Presenta dimensioni L 95 × H 800 × P 150 mm, base 95 × 120 mm, sorgente LED integrata da 6,5W, alimentazione 220-240 V AC, protezione IP54, classe 1, struttura in alluminio e metallo e peso netto 1,1 kg. Le configurazioni disponibili comprendono Antracite 3000K, Antracite 4000K, Coffee 3000K e Nero 3000K, così da scegliere la versione più adatta allo stile dell’ambiente e alle esigenze di illuminazione.</p>","<p>La Ideal Lux Agos PT H80 LED Lampada Da Terra per Interni è una lampada da terra Ideal Lux pensata per offrire un punto luce decorativo e funzionale, capace di completare l’arredo con una presenza elegante e facilmente integrabile in diversi contesti. Il suo design la rende adatta a chi cerca una lampada da terra moderna per illuminare con stile ambienti domestici e professionali.</p><p>La collezione Agos valorizza linee, finiture e proporzioni pensate per inserirsi con naturalezza nell’arredamento, offrendo una luce d’atmosfera adatta sia all’uso quotidiano sia a soluzioni decorative più ricercate.</p><p>Sul piano tecnico, il prodotto presenta dimensioni L 95 × H 800 × P 150 mm, base 95 × 120 mm, sorgente LED integrata da 6,5W, alimentazione 220-240 V AC, protezione IP54, classe 1, struttura in alluminio e metallo e peso netto 1,1 kg, caratteristiche che lo rendono una soluzione pratica e coerente con l’uso quotidiano.</p><p>Le configurazioni disponibili comprendono Antracite 3000K, Antracite 4000K, Coffee 3000K e Nero 3000K, così da scegliere la versione più adatta allo stile dell’ambiente e alle esigenze di illuminazione.</p><p>È indicata per valorizzare ingressi, zone living, percorsi interni e, dove previsto dal grado di protezione, anche spazi più esposti o ambienti outdoor protetti. La Agos PT H80 LED è quindi una scelta indicata per chi desidera una lampada da terra Ideal Lux con tecnologia LED, con varianti pensate per armonizzarsi con finiture, materiali e tonalità dell’ambiente.</p>","Lampada da terra Ideal Lux Agos PT H80 LED in Antracite, Coffee e Nero: design elegante per soggiorno, camera e ambienti moderni."
"IL-CONFIG-004","<p>La Ideal Lux Angolo PT5 Lampada Da Terra per Interni è una lampada da terra Ideal Lux dal design curato, ideale per illuminare e arredare ambienti interni con una luce elegante e funzionale. Presenta dimensioni L 300 × H 1180 × P 300 mm, base 300 × 300 mm, 5 luci con attacco G9 e potenza G9 max 5 × 28W, alimentazione 220-240 V AC, protezione IP20, classe 2, struttura in alluminio, metallo e vetro e peso netto 2,7 kg. Le configurazioni disponibili comprendono Nero e Ottone, così da scegliere la versione più adatta allo stile dell’ambiente e alle esigenze di illuminazione.</p>","<p>La Ideal Lux Angolo PT5 Lampada Da Terra per Interni è una lampada da terra Ideal Lux pensata per offrire un punto luce decorativo e funzionale, capace di completare l’arredo con una presenza elegante e facilmente integrabile in diversi contesti. Il suo design la rende adatta a chi cerca una lampada da terra moderna per illuminare con stile ambienti domestici e professionali.</p><p>La collezione Angolo valorizza linee, finiture e proporzioni pensate per inserirsi con naturalezza nell’arredamento, offrendo una luce d’atmosfera adatta sia all’uso quotidiano sia a soluzioni decorative più ricercate.</p><p>Sul piano tecnico, il prodotto presenta dimensioni L 300 × H 1180 × P 300 mm, base 300 × 300 mm, 5 luci con attacco G9 e potenza G9 max 5 × 28W, alimentazione 220-240 V AC, protezione IP20, classe 2, struttura in alluminio, metallo e vetro e peso netto 2,7 kg, caratteristiche che lo rendono una soluzione pratica e coerente con l’uso quotidiano.</p><p>Le configurazioni disponibili comprendono Nero e Ottone, così da scegliere la versione più adatta allo stile dell’ambiente e alle esigenze di illuminazione.</p><p>È indicata per valorizzare soggiorni, camere, studi, zone lettura, ingressi e ambienti contract in cui la luce contribuisce sia al comfort sia all’arredo. La Angolo PT5 è quindi una scelta indicata per chi desidera una lampada da terra Ideal Lux con sorgente luminosa selezionabile, con varianti pensate per armonizzarsi con finiture, materiali e tonalità dell’ambiente.</p>","Lampada da terra Ideal Lux Angolo PT5 G9 in Nero e Ottone: design elegante per soggiorno, camera e ambienti moderni."
"IL-CONFIG-005","<p>La Ideal Lux Arcadia PT1 Antracite Lampada Da Terra per Interni è una lampada da terra Ideal Lux dal design curato, ideale per illuminare e arredare ambienti interni con una luce elegante e funzionale. Presenta dimensioni D 347 × H 1536 mm, base D 300 mm, 1 luce con attacco E27 e potenza E27 max 1 × 42W, alimentazione 220-240 V AC, protezione IP44, classe 2, struttura in metallo e materiale plastico e peso netto 6,5 kg. Il configurabile include la variante Grigio, mantenendo una proposta chiara e mirata per chi cerca una lampada da terra Ideal Lux dal carattere definito.</p>","<p>La Ideal Lux Arcadia PT1 Antracite Lampada Da Terra per Interni è una lampada da terra Ideal Lux pensata per offrire un punto luce decorativo e funzionale, capace di completare l’arredo con una presenza elegante e facilmente integrabile in diversi contesti. Il suo design la rende adatta a chi cerca una lampada da terra moderna per illuminare con stile ambienti domestici e professionali.</p><p>La collezione Arcadia valorizza linee, finiture e proporzioni pensate per inserirsi con naturalezza nell’arredamento, offrendo una luce d’atmosfera adatta sia all’uso quotidiano sia a soluzioni decorative più ricercate.</p><p>Sul piano tecnico, il prodotto presenta dimensioni D 347 × H 1536 mm, base D 300 mm, 1 luce con attacco E27 e potenza E27 max 1 × 42W, alimentazione 220-240 V AC, protezione IP44, classe 2, struttura in metallo e materiale plastico e peso netto 6,5 kg, caratteristiche che lo rendono una soluzione pratica e coerente con l’uso quotidiano.</p><p>Il configurabile include la variante Grigio, mantenendo una proposta chiara e mirata per chi cerca una lampada da terra Ideal Lux dal carattere definito.</p><p>È indicata per valorizzare ingressi, zone living, percorsi interni e, dove previsto dal grado di protezione, anche spazi più esposti o ambienti outdoor protetti. La Arcadia PT1 Antracite è quindi una scelta indicata per chi desidera una lampada da terra Ideal Lux con sorgente luminosa selezionabile, con varianti pensate per armonizzarsi con finiture, materiali e tonalità dell’ambiente.</p>","Lampada da terra Ideal Lux Arcadia PT1 Antracite E27 in Grigio: design elegante per soggiorno, camera e ambienti moderni."
"IL-CONFIG-006","<p>La Ideal Lux Arcadia PT1 Lampada Da Terra per Interni è una lampada da terra Ideal Lux dal design curato, ideale per illuminare e arredare ambienti interni con una luce elegante e funzionale. Presenta dimensioni D 347 × H 1536 mm, base D 300 mm, 1 luce con attacco E27 e potenza E27 max 1 × 42W, alimentazione 220-240 V AC, protezione IP44, classe 2, struttura in metallo e materiale plastico e peso netto 6,5 kg. Il configurabile include la variante Bianco, mantenendo una proposta chiara e mirata per chi cerca una lampada da terra Ideal Lux dal carattere definito.</p>","<p>La Ideal Lux Arcadia PT1 Lampada Da Terra per Interni è una lampada da terra Ideal Lux pensata per offrire un punto luce decorativo e funzionale, capace di completare l’arredo con una presenza elegante e facilmente integrabile in diversi contesti. Il suo design la rende adatta a chi cerca una lampada da terra moderna per illuminare con stile ambienti domestici e professionali.</p><p>La collezione Arcadia valorizza linee, finiture e proporzioni pensate per inserirsi con naturalezza nell’arredamento, offrendo una luce d’atmosfera adatta sia all’uso quotidiano sia a soluzioni decorative più ricercate.</p><p>Sul piano tecnico, il prodotto presenta dimensioni D 347 × H 1536 mm, base D 300 mm, 1 luce con attacco E27 e potenza E27 max 1 × 42W, alimentazione 220-240 V AC, protezione IP44, classe 2, struttura in metallo e materiale plastico e peso netto 6,5 kg, caratteristiche che lo rendono una soluzione pratica e coerente con l’uso quotidiano.</p><p>Il configurabile include la variante Bianco, mantenendo una proposta chiara e mirata per chi cerca una lampada da terra Ideal Lux dal carattere definito.</p><p>È indicata per valorizzare ingressi, zone living, percorsi interni e, dove previsto dal grado di protezione, anche spazi più esposti o ambienti outdoor protetti. La Arcadia PT1 è quindi una scelta indicata per chi desidera una lampada da terra Ideal Lux con sorgente luminosa selezionabile, con varianti pensate per armonizzarsi con finiture, materiali e tonalità dell’ambiente.</p>","Lampada da terra Ideal Lux Arcadia PT1 E27 in Bianco: design elegante per soggiorno, camera e ambienti moderni."
"IL-CONFIG-007","<p>La Ideal Lux Atena PT1 Lampada Da Terra per Interni è una lampada da terra Ideal Lux dal design curato, ideale per illuminare e arredare ambienti interni con una luce elegante e funzionale. Presenta dimensioni D 155 × H 800 mm, base D 155 mm, 1 luce con attacco E27 e potenza E27 max 1 × 23W, alimentazione 220-240 V AC, protezione IP55, classe 2, struttura in resina e materiale plastico e peso netto 1,07 kg. Le configurazioni disponibili comprendono Bianco, Grigio e Nero, così da scegliere la versione più adatta allo stile dell’ambiente e alle esigenze di illuminazione.</p>","<p>La Ideal Lux Atena PT1 Lampada Da Terra per Interni è una lampada da terra Ideal Lux pensata per offrire un punto luce decorativo e funzionale, capace di completare l’arredo con una presenza elegante e facilmente integrabile in diversi contesti. Il suo design la rende adatta a chi cerca una lampada da terra moderna per illuminare con stile ambienti domestici e professionali.</p><p>La collezione Atena valorizza linee, finiture e proporzioni pensate per inserirsi con naturalezza nell’arredamento, offrendo una luce d’atmosfera adatta sia all’uso quotidiano sia a soluzioni decorative più ricercate.</p><p>Sul piano tecnico, il prodotto presenta dimensioni D 155 × H 800 mm, base D 155 mm, 1 luce con attacco E27 e potenza E27 max 1 × 23W, alimentazione 220-240 V AC, protezione IP55, classe 2, struttura in resina e materiale plastico e peso netto 1,07 kg, caratteristiche che lo rendono una soluzione pratica e coerente con l’uso quotidiano.</p><p>Le configurazioni disponibili comprendono Bianco, Grigio e Nero, così da scegliere la versione più adatta allo stile dell’ambiente e alle esigenze di illuminazione.</p><p>È indicata per valorizzare ingressi, zone living, percorsi interni e, dove previsto dal grado di protezione, anche spazi più esposti o ambienti outdoor protetti. La Atena PT1 è quindi una scelta indicata per chi desidera una lampada da terra Ideal Lux con sorgente luminosa selezionabile, con varianti pensate per armonizzarsi con finiture, materiali e tonalità dell’ambiente.</p>","Lampada da terra Ideal Lux Atena PT1 E27 in Bianco, Grigio e Nero: design elegante per soggiorno, camera e ambienti moderni."
"IL-CONFIG-008","<p>La Ideal Lux Axel PT1 Lampada Da Terra per Interni è una lampada da terra Ideal Lux dal design curato, ideale per illuminare e arredare ambienti interni con una luce elegante e funzionale. Presenta dimensioni L 300 × H 1680 × P 300 mm, base D 280 mm, 1 luce con attacco E27 e potenza E27 max 1 × 60W, alimentazione 220-240 V AC, protezione IP20, classe 2, struttura in legno e tessuto e peso netto 5,2 kg. Le configurazioni disponibili comprendono Bianco e Nero, così da scegliere la versione più adatta allo stile dell’ambiente e alle esigenze di illuminazione.</p>","<p>La Ideal Lux Axel PT1 Lampada Da Terra per Interni è una lampada da terra Ideal Lux pensata per offrire un punto luce decorativo e funzionale, capace di completare l’arredo con una presenza elegante e facilmente integrabile in diversi contesti. Il suo design la rende adatta a chi cerca una lampada da terra moderna per illuminare con stile ambienti domestici e professionali.</p><p>La collezione Axel valorizza linee, finiture e proporzioni pensate per inserirsi con naturalezza nell’arredamento, offrendo una luce d’atmosfera adatta sia all’uso quotidiano sia a soluzioni decorative più ricercate.</p><p>Sul piano tecnico, il prodotto presenta dimensioni L 300 × H 1680 × P 300 mm, base D 280 mm, 1 luce con attacco E27 e potenza E27 max 1 × 60W, alimentazione 220-240 V AC, protezione IP20, classe 2, struttura in legno e tessuto e peso netto 5,2 kg, caratteristiche che lo rendono una soluzione pratica e coerente con l’uso quotidiano.</p><p>Le configurazioni disponibili comprendono Bianco e Nero, così da scegliere la versione più adatta allo stile dell’ambiente e alle esigenze di illuminazione.</p><p>È indicata per valorizzare soggiorni, camere, studi, zone lettura, ingressi e ambienti contract in cui la luce contribuisce sia al comfort sia all’arredo. La Axel PT1 è quindi una scelta indicata per chi desidera una lampada da terra Ideal Lux con sorgente luminosa selezionabile, con varianti pensate per armonizzarsi con finiture, materiali e tonalità dell’ambiente.</p>","Lampada da terra Ideal Lux Axel PT1 E27 in Bianco e Nero: design elegante per soggiorno, camera e ambienti moderni."
"IL-CONFIG-009","<p>La Ideal Lux Binomio PT3 Lampada Da Terra per Interni è una lampada da terra Ideal Lux dal design curato, ideale per illuminare e arredare ambienti interni con una luce elegante e funzionale. Presenta dimensioni D 250 × H 1609 mm, base D 250 mm, 3 luci con attacco G9 e potenza G9 max 3 × 4W, alimentazione 220-240 V AC, protezione IP20, classe 2, struttura in metallo e vetro e peso netto 4,5 kg. Le configurazioni disponibili comprendono Bianco, Nero e Ottone, così da scegliere la versione più adatta allo stile dell’ambiente e alle esigenze di illuminazione.</p>","<p>La Ideal Lux Binomio PT3 Lampada Da Terra per Interni è una lampada da terra Ideal Lux pensata per offrire un punto luce decorativo e funzionale, capace di completare l’arredo con una presenza elegante e facilmente integrabile in diversi contesti. Il suo design la rende adatta a chi cerca una lampada da terra moderna per illuminare con stile ambienti domestici e professionali.</p><p>La collezione Binomio valorizza linee, finiture e proporzioni pensate per inserirsi con naturalezza nell’arredamento, offrendo una luce d’atmosfera adatta sia all’uso quotidiano sia a soluzioni decorative più ricercate.</p><p>Sul piano tecnico, il prodotto presenta dimensioni D 250 × H 1609 mm, base D 250 mm, 3 luci con attacco G9 e potenza G9 max 3 × 4W, alimentazione 220-240 V AC, protezione IP20, classe 2, struttura in metallo e vetro e peso netto 4,5 kg, caratteristiche che lo rendono una soluzione pratica e coerente con l’uso quotidiano.</p><p>Le configurazioni disponibili comprendono Bianco, Nero e Ottone, così da scegliere la versione più adatta allo stile dell’ambiente e alle esigenze di illuminazione.</p><p>È indicata per valorizzare soggiorni, camere, studi, zone lettura, ingressi e ambienti contract in cui la luce contribuisce sia al comfort sia all’arredo. La Binomio PT3 è quindi una scelta indicata per chi desidera una lampada da terra Ideal Lux con sorgente luminosa selezionabile, con varianti pensate per armonizzarsi con finiture, materiali e tonalità dell’ambiente.</p>","Lampada da terra Ideal Lux Binomio PT3 G9 in Bianco, Nero e Ottone: design elegante per soggiorno, camera e ambienti moderni."
"IL-CONFIG-010","<p>La Ideal Lux Binomio PT4 LED Lampada Da Terra per Interni è una lampada da terra Ideal Lux dal design curato, ideale per illuminare e arredare ambienti interni con una luce elegante e funzionale. Presenta dimensioni L 220 × H 1550 × P 220 mm, base D 220 mm, sorgente LED 12W, alimentazione 220-240 V AC, protezione IP20, classe 2, struttura in metallo e vetro e peso netto 2,5 kg. Le configurazioni disponibili comprendono Bianco, Nero e Ottone, così da scegliere la versione più adatta allo stile dell’ambiente e alle esigenze di illuminazione.</p>","<p>La Ideal Lux Binomio PT4 LED Lampada Da Terra per Interni è una lampada da terra Ideal Lux pensata per offrire un punto luce decorativo e funzionale, capace di completare l’arredo con una presenza elegante e facilmente integrabile in diversi contesti. Il suo design la rende adatta a chi cerca una lampada da terra moderna per illuminare con stile ambienti domestici e professionali.</p><p>La collezione Binomio valorizza linee, finiture e proporzioni pensate per inserirsi con naturalezza nell’arredamento, offrendo una luce d’atmosfera adatta sia all’uso quotidiano sia a soluzioni decorative più ricercate.</p><p>Sul piano tecnico, il prodotto presenta dimensioni L 220 × H 1550 × P 220 mm, base D 220 mm, sorgente LED 12W, alimentazione 220-240 V AC, protezione IP20, classe 2, struttura in metallo e vetro e peso netto 2,5 kg, caratteristiche che lo rendono una soluzione pratica e coerente con l’uso quotidiano.</p><p>Le configurazioni disponibili comprendono Bianco, Nero e Ottone, così da scegliere la versione più adatta allo stile dell’ambiente e alle esigenze di illuminazione.</p><p>È indicata per valorizzare soggiorni, camere, studi, zone lettura, ingressi e ambienti contract in cui la luce contribuisce sia al comfort sia all’arredo. La Binomio PT4 LED è quindi una scelta indicata per chi desidera una lampada da terra Ideal Lux con tecnologia LED, con varianti pensate per armonizzarsi con finiture, materiali e tonalità dell’ambiente.</p>","Lampada da terra Ideal Lux Binomio PT4 LED in Bianco, Nero e Ottone: design elegante per soggiorno, camera e ambienti moderni."
