"sku","short_description","description","meta_description"
"IL-CONFIG-089","Ideal Lux Angolo TL1 è una lampada da tavolo per interni compatta, geometrica e scenografica, ideale per comodino, libreria, mensola, ingresso e tavolino laterale. Caratteristiche principali: materiali: alluminio, metallo e vetro; dimensioni: L12cm x H12cm x P12cm; 1 luce con attacco G9; potenza massima 1 x 28W; alimentazione 220-240 V AC; classe II; lampadina inclusa; non dimmerabile. Le varianti selezionabili comprendono finiture Nero e Ottone, così puoi coordinare finitura, luce e ingombro con l’arredo.","<p>Ideal Lux Angolo TL1 è una lampada da tavolo per interni compatta, geometrica e scenografica. È pensata per comodino, libreria, mensola, ingresso e tavolino laterale: ideale quando serve un accento luminoso netto e ordinato, con una forma semplice ma riconoscibile. La sua presenza d’appoggio aiuta a completare l’illuminazione principale con una luce mirata, decorativa e piacevole da vivere ogni giorno.</p><p>La struttura è realizzata in alluminio, metallo e vetro, con proporzioni pensate per l’uso su superfici d’appoggio. Le caratteristiche tecniche principali sono: materiali: alluminio, metallo e vetro; dimensioni: L12cm x H12cm x P12cm; 1 luce con attacco G9; potenza massima 1 x 28W; alimentazione 220-240 V AC; classe II; lampadina inclusa; non dimmerabile.</p><p>La famiglia Angolo TL1 permette di scegliere tra finiture Nero e Ottone. In questo modo puoi selezionare la soluzione più adatta al contesto: Nero e Ottone.</p><p>Scegliere Angolo TL1 significa aggiungere una lampada da tavolo Ideal Lux per interni adatta a camera da letto, soggiorno, studio o ingresso. Può essere posizionata su comodini, consolle, mensole o tavolini e coordinata con lampadari, applique o lampade da terra per un ambiente armonico e ben illuminato.</p>","Ideal Lux Angolo TL1 lampada da tavolo per interni, ideale per comodino, soggiorno, studio e ingresso. Disponibile in Nero e Ottone."
"IL-CONFIG-090","Ideal Lux Arcadia TL1 è una lampada da tavolo per esterni decorativa e accogliente per l’outdoor, ideale per terrazze, balconi, portici, dehors e tavoli da giardino. Caratteristiche principali: materiali: metallo e materiale plastico; dimensioni: Ø28cm x H52,9cm; 1 luce con attacco E27; potenza massima 1 x 42W; alimentazione 220-240 V AC; classe II; protezione IP44; lampadina non inclusa; non dimmerabile. Le varianti selezionabili comprendono finiture Grigio e Bianco, così puoi coordinare finitura, luce e ingombro con l’arredo.","<p>Ideal Lux Arcadia TL1 è una lampada da tavolo per esterni decorativa e accogliente per l’outdoor. È pensata per terrazze, balconi, portici, dehors e tavoli da giardino: accompagna cene all’aperto e zone relax con una luce morbida e conviviale. La sua presenza d’appoggio aiuta a completare l’illuminazione principale con una luce mirata, decorativa e piacevole da vivere ogni giorno.</p><p>La struttura è realizzata in metallo e materiale plastico, con proporzioni pensate per l’uso su superfici d’appoggio. Le caratteristiche tecniche principali sono: materiali: metallo e materiale plastico; dimensioni: Ø28cm x H52,9cm; 1 luce con attacco E27; potenza massima 1 x 42W; alimentazione 220-240 V AC; classe II; protezione IP44; lampadina non inclusa; non dimmerabile.</p><p>La famiglia Arcadia TL1 permette di scegliere tra finiture Grigio e Bianco. In questo modo puoi selezionare la soluzione più adatta al contesto: Grigio e Bianco.</p><p>Questa lampada da tavolo Ideal Lux per esterni è indicata per creare atmosfera su tavoli outdoor, balconi, terrazze, portici e aree lounge. Può essere inserita in progetti residenziali o contract, anche in abbinamento ad applique, paletti e altre lampade da esterno per ottenere un’illuminazione coordinata.</p>","Ideal Lux Arcadia TL1 lampada da tavolo per esterni, ideale per terrazze, balconi, dehors e tavoli outdoor. Disponibile in Grigio e Bianco."
"IL-CONFIG-091","Ideal Lux Axel TL1 è una lampada da tavolo per interni slanciata e calda, con paralume in tessuto, ideale per comodino, camera da letto, soggiorno, studio e consolle. Caratteristiche principali: materiali: legno e tessuto; dimensioni: L20cm x H66cm x P27cm; 1 luce con attacco E27; potenza massima 1 x 60W; alimentazione 220-240 V AC; classe II; lampadina non inclusa; non dimmerabile. Le varianti selezionabili comprendono finiture Bianco e Nero, così puoi coordinare finitura, luce e ingombro con l’arredo.","<p>Ideal Lux Axel TL1 è una lampada da tavolo per interni slanciata e calda, con paralume in tessuto. È pensata per comodino, camera da letto, soggiorno, studio e consolle: adatta a creare una luce filtrata e confortevole, perfetta per ambienti domestici eleganti. La sua presenza d’appoggio aiuta a completare l’illuminazione principale con una luce mirata, decorativa e piacevole da vivere ogni giorno.</p><p>La struttura è realizzata in legno e tessuto, con proporzioni pensate per l’uso su superfici d’appoggio. Le caratteristiche tecniche principali sono: materiali: legno e tessuto; dimensioni: L20cm x H66cm x P27cm; 1 luce con attacco E27; potenza massima 1 x 60W; alimentazione 220-240 V AC; classe II; lampadina non inclusa; non dimmerabile.</p><p>La famiglia Axel TL1 permette di scegliere tra finiture Bianco e Nero. In questo modo puoi selezionare la soluzione più adatta al contesto: Bianco e Nero.</p><p>Scegliere Axel TL1 significa aggiungere una lampada da tavolo Ideal Lux per interni adatta a camera da letto, soggiorno, studio o ingresso. Può essere posizionata su comodini, consolle, mensole o tavolini e coordinata con lampadari, applique o lampade da terra per un ambiente armonico e ben illuminato.</p>","Ideal Lux Axel TL1 lampada da tavolo per interni, ideale per comodino, soggiorno, studio e ingresso. Disponibile in Bianco e Nero."
"IL-CONFIG-092","Ideal Lux Binomio TL1 è una lampada da tavolo per interni essenziale e contemporanea, con vetro protagonista, ideale per comodino, tavolino, ingresso, living e zona notte. Caratteristiche principali: materiali: metallo e vetro; dimensioni: Ø16cm x H37,5cm; 1 luce con attacco G9; potenza massima 1 x 4W; alimentazione 220-240 V AC; classe II; lampadina inclusa; non dimmerabile. Le varianti selezionabili comprendono finiture Bianco, Nero e Ottone, così puoi coordinare finitura, luce e ingombro con l’arredo.","<p>Ideal Lux Binomio TL1 è una lampada da tavolo per interni essenziale e contemporanea, con vetro protagonista. È pensata per comodino, tavolino, ingresso, living e zona notte: unisce volumi puliti e dettagli luminosi per un effetto decorativo misurato. La sua presenza d’appoggio aiuta a completare l’illuminazione principale con una luce mirata, decorativa e piacevole da vivere ogni giorno.</p><p>La struttura è realizzata in metallo e vetro, con proporzioni pensate per l’uso su superfici d’appoggio. Le caratteristiche tecniche principali sono: materiali: metallo e vetro; dimensioni: Ø16cm x H37,5cm; 1 luce con attacco G9; potenza massima 1 x 4W; alimentazione 220-240 V AC; classe II; lampadina inclusa; non dimmerabile.</p><p>La famiglia Binomio TL1 permette di scegliere tra finiture Bianco, Nero e Ottone. In questo modo puoi selezionare la soluzione più adatta al contesto: Bianco, Nero e Ottone.</p><p>Scegliere Binomio TL1 significa aggiungere una lampada da tavolo Ideal Lux per interni adatta a camera da letto, soggiorno, studio o ingresso. Può essere posizionata su comodini, consolle, mensole o tavolini e coordinata con lampadari, applique o lampade da terra per un ambiente armonico e ben illuminato.</p>","Ideal Lux Binomio TL1 lampada da tavolo per interni, ideale per comodino, soggiorno, studio e ingresso. Disponibile in Bianco, Nero e Ottone."
"IL-CONFIG-093","Ideal Lux Binomio TL2 LED è una lampada da tavolo per interni essenziale e contemporanea, con vetro protagonista, ideale per comodino, tavolino, ingresso, living e zona notte. Caratteristiche principali: materiali: metallo e vetro; dimensioni: L15cm x H35cm x P15cm; 2 luci con attacco LED; sorgente LED 6W; alimentazione 220-240 V AC; classe II; lampadina inclusa; non dimmerabile. Le varianti selezionabili comprendono finiture Bianco, Nero e Ottone, così puoi coordinare finitura, luce e ingombro con l’arredo.","<p>Ideal Lux Binomio TL2 LED è una lampada da tavolo per interni essenziale e contemporanea, con vetro protagonista. È pensata per comodino, tavolino, ingresso, living e zona notte: unisce volumi puliti e dettagli luminosi per un effetto decorativo misurato. La sua presenza d’appoggio aiuta a completare l’illuminazione principale con una luce mirata, decorativa e piacevole da vivere ogni giorno.</p><p>La struttura è realizzata in metallo e vetro, con proporzioni pensate per l’uso su superfici d’appoggio. Le caratteristiche tecniche principali sono: materiali: metallo e vetro; dimensioni: L15cm x H35cm x P15cm; 2 luci con attacco LED; sorgente LED 6W; alimentazione 220-240 V AC; classe II; lampadina inclusa; non dimmerabile.</p><p>La famiglia Binomio TL2 LED permette di scegliere tra finiture Bianco, Nero e Ottone. In questo modo puoi selezionare la soluzione più adatta al contesto: Bianco, Nero e Ottone.</p><p>Scegliere Binomio TL2 LED significa aggiungere una lampada da tavolo Ideal Lux per interni adatta a camera da letto, soggiorno, studio o ingresso. Può essere posizionata su comodini, consolle, mensole o tavolini e coordinata con lampadari, applique o lampade da terra per un ambiente armonico e ben illuminato.</p>","Ideal Lux Binomio TL2 LED lampada da tavolo per interni, ideale per comodino, soggiorno, studio e ingresso. Disponibile in Bianco, Nero e Ottone."
"IL-CONFIG-094","Ideal Lux Birds TL1 è una lampada da tavolo per interni decorativa e raffinata, con sfera luminosa in vetro, ideale per comodino, consolle, madia, tavolino da salotto e ingresso. Caratteristiche principali: materiali: metallo e vetro; dimensioni: L13cm x H26,5cm x P16cm; 1 luce con attacco G9; potenza massima 1 x 15W; alimentazione 220-240 V AC; classe II; lampadina inclusa; non dimmerabile. La configurazione disponibile comprende finitura Nero, pensata per offrire un punto luce coerente e facile da inserire nel progetto d’arredo.","<p>Ideal Lux Birds TL1 è una lampada da tavolo per interni decorativa e raffinata, con sfera luminosa in vetro. È pensata per comodino, consolle, madia, tavolino da salotto e ingresso: aggiunge un punto luce elegante senza occupare troppo spazio. La sua presenza d’appoggio aiuta a completare l’illuminazione principale con una luce mirata, decorativa e piacevole da vivere ogni giorno.</p><p>La struttura è realizzata in metallo e vetro, con proporzioni pensate per l’uso su superfici d’appoggio. Le caratteristiche tecniche principali sono: materiali: metallo e vetro; dimensioni: L13cm x H26,5cm x P16cm; 1 luce con attacco G9; potenza massima 1 x 15W; alimentazione 220-240 V AC; classe II; lampadina inclusa; non dimmerabile.</p><p>La configurazione Birds TL1 comprende finitura Nero. È una scelta indicata quando si desidera un prodotto già definito, coerente nello stile e semplice da coordinare con gli altri elementi della stanza.</p><p>Scegliere Birds TL1 significa aggiungere una lampada da tavolo Ideal Lux per interni adatta a camera da letto, soggiorno, studio o ingresso. Può essere posizionata su comodini, consolle, mensole o tavolini e coordinata con lampadari, applique o lampade da terra per un ambiente armonico e ben illuminato.</p>","Ideal Lux Birds TL1 lampada da tavolo per interni, ideale per comodino, soggiorno, studio e ingresso. Disponibile in Nero."
"IL-CONFIG-095","Ideal Lux Bloom TL1 è una lampada da tavolo per interni compatta e decorativa, ispirata a forme morbide, ideale per comodini, mensole, librerie, tavolini e piccoli angoli del soggiorno. Caratteristiche principali: materiali: vetro, metallo e alluminio; dimensioni: Ø11,5cm x H27cm e Ø11,5cm x H12,7cm; 1 luce con attacco G9; potenza massima 1 x 4W; alimentazione 220-240 V AC; classe II; lampadina inclusa; non dimmerabile. Le varianti selezionabili comprendono finiture Nero e Ottone; dimensioni Ø11,5cm x H27cm e Ø11,5cm x H12,7cm, così puoi coordinare finitura, luce e ingombro con l’arredo.","<p>Ideal Lux Bloom TL1 è una lampada da tavolo per interni compatta e decorativa, ispirata a forme morbide. È pensata per comodini, mensole, librerie, tavolini e piccoli angoli del soggiorno: permette di creare accenti luminosi delicati scegliendo altezza e finitura. La sua presenza d’appoggio aiuta a completare l’illuminazione principale con una luce mirata, decorativa e piacevole da vivere ogni giorno.</p><p>La struttura è realizzata in vetro, metallo e alluminio, con proporzioni pensate per l’uso su superfici d’appoggio. Le caratteristiche tecniche principali sono: materiali: vetro, metallo e alluminio; dimensioni: Ø11,5cm x H27cm e Ø11,5cm x H12,7cm; 1 luce con attacco G9; potenza massima 1 x 4W; alimentazione 220-240 V AC; classe II; lampadina inclusa; non dimmerabile.</p><p>La famiglia Bloom TL1 permette di scegliere tra finiture Nero e Ottone; dimensioni Ø11,5cm x H27cm e Ø11,5cm x H12,7cm. In questo modo puoi selezionare la soluzione più adatta al contesto: Nero Ø11,5cm x H27cm, Ottone Ø11,5cm x H27cm, Nero Ø11,5cm x H12,7cm e Ottone Ø11,5cm x H12,7cm.</p><p>Scegliere Bloom TL1 significa aggiungere una lampada da tavolo Ideal Lux per interni adatta a camera da letto, soggiorno, studio o ingresso. Può essere posizionata su comodini, consolle, mensole o tavolini e coordinata con lampadari, applique o lampade da terra per un ambiente armonico e ben illuminato.</p>","Ideal Lux Bloom TL1 lampada da tavolo per interni, ideale per comodino, soggiorno, studio e ingresso. Disponibile in Nero e Ottone, con più dimensioni."
"IL-CONFIG-096","Ideal Lux Candy TL1 è una lampada da tavolo per interni morbida e luminosa, con diffusore in vetro bianco, ideale per comodino, mobile ingresso, mensola, bagno di servizio e zona relax. Caratteristiche principali: materiali: vetro; dimensioni: Ø25cm x H18cm; 1 luce con attacco G9; potenza massima 1 x 40W; alimentazione 220-240 V AC; classe II; lampadina inclusa; non dimmerabile. La configurazione disponibile comprende finitura Bianco, pensata per offrire un punto luce coerente e facile da inserire nel progetto d’arredo.","<p>Ideal Lux Candy TL1 è una lampada da tavolo per interni morbida e luminosa, con diffusore in vetro bianco. È pensata per comodino, mobile ingresso, mensola, bagno di servizio e zona relax: diffonde una luce piacevole e uniforme, indicata per atmosfere intime e ordinate. La sua presenza d’appoggio aiuta a completare l’illuminazione principale con una luce mirata, decorativa e piacevole da vivere ogni giorno.</p><p>La struttura è realizzata in vetro, con proporzioni pensate per l’uso su superfici d’appoggio. Le caratteristiche tecniche principali sono: materiali: vetro; dimensioni: Ø25cm x H18cm; 1 luce con attacco G9; potenza massima 1 x 40W; alimentazione 220-240 V AC; classe II; lampadina inclusa; non dimmerabile.</p><p>La configurazione Candy TL1 comprende finitura Bianco. È una scelta indicata quando si desidera un prodotto già definito, coerente nello stile e semplice da coordinare con gli altri elementi della stanza.</p><p>Scegliere Candy TL1 significa aggiungere una lampada da tavolo Ideal Lux per interni adatta a camera da letto, soggiorno, studio o ingresso. Può essere posizionata su comodini, consolle, mensole o tavolini e coordinata con lampadari, applique o lampade da terra per un ambiente armonico e ben illuminato.</p>","Ideal Lux Candy TL1 lampada da tavolo per interni, ideale per comodino, soggiorno, studio e ingresso. Disponibile in Bianco."
"IL-CONFIG-097","Ideal Lux Carta TL1 è una lampada da tavolo per interni leggera e materica, con effetto carta, ideale per comodino, mensola, camera da letto, soggiorno e angolo lettura. Caratteristiche principali: materiali: materiale plastico; dimensioni: Ø10cm x H12,5cm e Ø20cm x H21,5cm; 1 luce con attacchi G9 ed E27; potenza massima 1 x 15W e potenza massima 1 x 25W; alimentazione 220-240 V AC; classe II; lampadina inclusa in alcune versioni; non dimmerabile. Le varianti selezionabili comprendono finitura Bianco; dimensioni Ø10cm x H12,5cm e Ø20cm x H21,5cm; attacchi G9 ed E27; potenze 1 x 15W e 1 x 25W, così puoi coordinare finitura, luce e ingombro con l’arredo.","<p>Ideal Lux Carta TL1 è una lampada da tavolo per interni leggera e materica, con effetto carta. È pensata per comodino, mensola, camera da letto, soggiorno e angolo lettura: offre una luce soffusa e naturale, perfetta per chi cerca un segno discreto. La sua presenza d’appoggio aiuta a completare l’illuminazione principale con una luce mirata, decorativa e piacevole da vivere ogni giorno.</p><p>La struttura valorizza materiale plastico con dettagli costruttivi curati. Montatura in metallo verniciato bianco opaco. Diffusore in policarbonato con rivestimento ad effetto carta. Le caratteristiche tecniche principali sono: materiali: materiale plastico; dimensioni: Ø10cm x H12,5cm e Ø20cm x H21,5cm; 1 luce con attacchi G9 ed E27; potenza massima 1 x 15W e potenza massima 1 x 25W; alimentazione 220-240 V AC; classe II; lampadina inclusa in alcune versioni; non dimmerabile.</p><p>La famiglia Carta TL1 permette di scegliere tra finitura Bianco; dimensioni Ø10cm x H12,5cm e Ø20cm x H21,5cm; attacchi G9 ed E27; potenze 1 x 15W e 1 x 25W. In questo modo puoi selezionare la soluzione più adatta al contesto: Bianco Ø10cm x H12,5cm G9 e Bianco Ø20cm x H21,5cm E27.</p><p>Scegliere Carta TL1 significa aggiungere una lampada da tavolo Ideal Lux per interni adatta a camera da letto, soggiorno, studio o ingresso. Può essere posizionata su comodini, consolle, mensole o tavolini e coordinata con lampadari, applique o lampade da terra per un ambiente armonico e ben illuminato.</p>","Ideal Lux Carta TL1 lampada da tavolo per interni, ideale per comodino, soggiorno, studio e ingresso. Disponibile in Bianco."
"IL-CONFIG-098","Ideal Lux Chalet TL1 è una lampada da tavolo per interni calda e materica, dal gusto naturale, ideale per camera da letto, soggiorno, chalet, case di campagna, hotel e spazi hospitality. Caratteristiche principali: materiali: resina e tessuto; dimensioni: Ø41cm x H65cm; 1 luce con attacco E27; potenza massima 1 x 60W; alimentazione 220-240 V AC; classe II; lampadina non inclusa; non dimmerabile. La configurazione disponibile comprende finitura Beige, pensata per offrire un punto luce coerente e facile da inserire nel progetto d’arredo.","<p>Ideal Lux Chalet TL1 è una lampada da tavolo per interni calda e materica, dal gusto naturale. È pensata per camera da letto, soggiorno, chalet, case di campagna, hotel e spazi hospitality: porta nell’ambiente una presenza decorativa morbida, ideale con legno, tessuti e colori neutri. La sua presenza d’appoggio aiuta a completare l’illuminazione principale con una luce mirata, decorativa e piacevole da vivere ogni giorno.</p><p>La struttura è realizzata in resina e tessuto, con proporzioni pensate per l’uso su superfici d’appoggio. Le caratteristiche tecniche principali sono: materiali: resina e tessuto; dimensioni: Ø41cm x H65cm; 1 luce con attacco E27; potenza massima 1 x 60W; alimentazione 220-240 V AC; classe II; lampadina non inclusa; non dimmerabile.</p><p>La configurazione Chalet TL1 comprende finitura Beige. È una scelta indicata quando si desidera un prodotto già definito, coerente nello stile e semplice da coordinare con gli altri elementi della stanza.</p><p>Scegliere Chalet TL1 significa aggiungere una lampada da tavolo Ideal Lux per interni adatta a camera da letto, soggiorno, studio o ingresso. Può essere posizionata su comodini, consolle, mensole o tavolini e coordinata con lampadari, applique o lampade da terra per un ambiente armonico e ben illuminato.</p>","Ideal Lux Chalet TL1 lampada da tavolo per interni, ideale per comodino, soggiorno, studio e ingresso. Disponibile in Beige."
