sku,short_description,description,meta_description
IL-CONFIG-001,"<p>La Ideal Lux Acqua Pt1 è una lampada da terra per esterni dal design curato, ideale per illuminare giardini, terrazze, vialetti, ingressi e aree outdoor con una luce elegante e funzionale. Integra dimensioni Ø13.5cm × H60cm, struttura in alluminio e metallo, con 1 luce, attacco G9, potenza 15W, alimentazione 220-240 V AC, grado di protezione IP44, classe 1, peso netto 1,5 kg, caratteristiche che la rendono una soluzione pratica, resistente e facile da inserire in diversi progetti di illuminazione. Le configurazioni disponibili comprendono Antracite D 135 × H 600 mm e Coffee D 135 × H 600 mm. In questo modo è possibile scegliere tra finiture Antracite e Coffee in base al progetto illuminotecnico.</p>","<p>La Ideal Lux Acqua Pt1 è una lampada da terra per esterni pensata per offrire un punto luce decorativo e funzionale, capace di valorizzare giardini, terrazze, vialetti, ingressi e aree outdoor. Il design della collezione Acqua Pt1 unisce linee curate e finiture versatili, rendendola adatta a progetti di illuminazione moderni, residenziali e contract.</p><p>Il grado di protezione IP44 la rende adatta agli spazi esterni e agli ambienti esposti, mantenendo una buona affidabilità nell’uso quotidiano. Dal punto di vista tecnico, questa lampada presenta dimensioni Ø13.5cm × H60cm, struttura in alluminio e metallo, con 1 luce, attacco G9, potenza 15W, alimentazione 220-240 V AC, grado di protezione IP44, classe 1, peso netto 1,5 kg, dati che aiutano a scegliere il modello più adatto in base a dimensioni, prestazioni e contesto di installazione.</p><p>Le configurazioni disponibili comprendono Antracite D 135 × H 600 mm e Coffee D 135 × H 600 mm. In questo modo è possibile scegliere tra finiture Antracite e Coffee in base al progetto illuminotecnico.</p><p>Scegliere la Ideal Lux Acqua Pt1 significa puntare su una lampada da terra per esterni dal carattere riconoscibile, progettata per completare lo spazio con una luce piacevole, efficiente e coerente con lo stile dell’ambiente.</p>","Lampada da terra Ideal Lux Acqua Pt1 per esterni in Antracite e Coffee: IP44 15W ideale per giardino, terrazzo e vialetti, con design moderno e funzionale."
IL-CONFIG-002,"<p>La Ideal Lux Agos Pt è una lampada da terra per esterni dal design curato, ideale per illuminare giardini, terrazze, vialetti, ingressi e aree outdoor con una luce elegante e funzionale. Integra dimensioni L9.5cm × H60cm × P15cm - L9.5cm × H80cm × P15cm, struttura in alluminio e metallo, con 1 luce, attacco LED, potenza 5W, alimentazione 220-240 V AC, grado di protezione IP54, classe 1, lampadina inclusa, peso netto 0,95 kg, caratteristiche che la rendono una soluzione pratica, resistente e facile da inserire in diversi progetti di illuminazione. Le configurazioni disponibili comprendono Antracite H 60 cm 3000K, Antracite H 60 cm 4000K, Coffee H 60 cm 3000K, Nero H 60 cm 3000K, Antracite H 80 cm 3000K, Antracite H 80 cm 4000K, Coffee H 80 cm 3000K e Nero H 80 cm 3000K. In questo modo è possibile scegliere tra finiture Antracite, Coffee e Nero, diverse altezze e dimensioni in base al progetto illuminotecnico.</p>","<p>La Ideal Lux Agos Pt è una lampada da terra per esterni pensata per offrire un punto luce decorativo e funzionale, capace di valorizzare giardini, terrazze, vialetti, ingressi e aree outdoor. Il design della collezione Agos Pt unisce linee curate e finiture versatili, rendendola adatta a progetti di illuminazione moderni, residenziali e contract.</p><p>Il grado di protezione IP54 la rende adatta agli spazi esterni e agli ambienti esposti, mantenendo una buona affidabilità nell’uso quotidiano. Dal punto di vista tecnico, questa lampada presenta dimensioni L9.5cm × H60cm × P15cm - L9.5cm × H80cm × P15cm, struttura in alluminio e metallo, con 1 luce, attacco LED, potenza 5W, alimentazione 220-240 V AC, grado di protezione IP54, classe 1, lampadina inclusa, peso netto 0,95 kg, dati che aiutano a scegliere il modello più adatto in base a dimensioni, prestazioni e contesto di installazione.</p><p>Le configurazioni disponibili comprendono Antracite H 60 cm 3000K, Antracite H 60 cm 4000K, Coffee H 60 cm 3000K, Nero H 60 cm 3000K, Antracite H 80 cm 3000K, Antracite H 80 cm 4000K, Coffee H 80 cm 3000K e Nero H 80 cm 3000K. In questo modo è possibile scegliere tra finiture Antracite, Coffee e Nero, diverse altezze e dimensioni in base al progetto illuminotecnico.</p><p>Scegliere la Ideal Lux Agos Pt significa puntare su una lampada da terra per esterni dal carattere riconoscibile, progettata per completare lo spazio con una luce piacevole, efficiente e coerente con lo stile dell’ambiente.</p>","Lampada da terra Ideal Lux Agos Pt per esterni in Antracite, Coffee e Nero: IP54 5W ideale per giardino, terrazzo e vialetti, con design moderno e funzionale."
IL-CONFIG-003,"<p>La Ideal Lux Angolo Pt5 è una lampada da terra per interni dal design curato, ideale per illuminare soggiorni, camere, studi, zone living e ambienti contract con una luce elegante e funzionale. Integra dimensioni L30cm × H118cm × P30cm, struttura in alluminio, metallo e vetro, con 5 luci, attacco G9, potenza 5 x 28W, alimentazione 220-240 V AC, grado di protezione IP20, classe 2, lampadina inclusa, peso netto 2,7 kg, caratteristiche che la rendono una soluzione pratica, resistente e facile da inserire in diversi progetti di illuminazione. Le configurazioni disponibili comprendono Nero L 300 × H 1180 × P 300 mm e Ottone L 300 × H 1180 × P 300 mm. In questo modo è possibile scegliere tra finiture Nero e Ottone in base al progetto illuminotecnico.</p>","<p>La Ideal Lux Angolo Pt5 è una lampada da terra per interni pensata per offrire un punto luce decorativo e funzionale, capace di valorizzare soggiorni, camere, studi, zone living e ambienti contract. Il design della collezione Angolo Pt5 unisce linee curate e finiture versatili, rendendola adatta a progetti di illuminazione moderni, residenziali e contract.</p><p>Il grado di protezione IP20 è coerente con l’uso in ambienti interni, dove comfort visivo e resa estetica sono elementi centrali. Dal punto di vista tecnico, questa lampada presenta dimensioni L30cm × H118cm × P30cm, struttura in alluminio, metallo e vetro, con 5 luci, attacco G9, potenza 5 x 28W, alimentazione 220-240 V AC, grado di protezione IP20, classe 2, lampadina inclusa, peso netto 2,7 kg, dati che aiutano a scegliere il modello più adatto in base a dimensioni, prestazioni e contesto di installazione.</p><p>Le configurazioni disponibili comprendono Nero L 300 × H 1180 × P 300 mm e Ottone L 300 × H 1180 × P 300 mm. In questo modo è possibile scegliere tra finiture Nero e Ottone in base al progetto illuminotecnico.</p><p>Scegliere la Ideal Lux Angolo Pt5 significa puntare su una lampada da terra per interni dal carattere riconoscibile, progettata per completare lo spazio con una luce piacevole, efficiente e coerente con lo stile dell’ambiente.</p>","Lampada da terra Ideal Lux Angolo Pt5 per interni in Nero e Ottone: IP20 5 x 28W ideale per soggiorno, studio e zona living, con design moderno e funzionale."
IL-CONFIG-004,"<p>La Ideal Lux Arcadia Pt1 Antracite è una lampada da terra per esterni dal design curato, ideale per illuminare giardini, terrazze, vialetti, ingressi e aree outdoor con una luce elegante e funzionale. Integra dimensioni Ø34.7cm × H153.6cm, struttura in metallo e ps, con 1 luce, attacco E27, potenza 42W, alimentazione 220-240 V AC, grado di protezione IP44, classe 2, peso netto 6,5 kg, caratteristiche che la rendono una soluzione pratica, resistente e facile da inserire in diversi progetti di illuminazione. La configurazione disponibile è Grigio, pensata per integrarsi con finiture e materiali coordinati all’ambiente.</p>","<p>La Ideal Lux Arcadia Pt1 Antracite è una lampada da terra per esterni pensata per offrire un punto luce decorativo e funzionale, capace di valorizzare giardini, terrazze, vialetti, ingressi e aree outdoor. Il design della collezione Arcadia Pt1 unisce linee curate e finiture versatili, rendendola adatta a progetti di illuminazione moderni, residenziali e contract.</p><p>Il grado di protezione IP44 la rende adatta agli spazi esterni e agli ambienti esposti, mantenendo una buona affidabilità nell’uso quotidiano. Dal punto di vista tecnico, questa lampada presenta dimensioni Ø34.7cm × H153.6cm, struttura in metallo e ps, con 1 luce, attacco E27, potenza 42W, alimentazione 220-240 V AC, grado di protezione IP44, classe 2, peso netto 6,5 kg, dati che aiutano a scegliere il modello più adatto in base a dimensioni, prestazioni e contesto di installazione.</p><p>La configurazione disponibile è Grigio, pensata per integrarsi con finiture e materiali coordinati all’ambiente.</p><p>Scegliere la Ideal Lux Arcadia Pt1 Antracite significa puntare su una lampada da terra per esterni dal carattere riconoscibile, progettata per completare lo spazio con una luce piacevole, efficiente e coerente con lo stile dell’ambiente.</p>","Lampada da terra Ideal Lux Arcadia Pt1 Antracite per esterni in Grigio: IP44 42W ideale per giardino, terrazzo e vialetti, con design moderno e funzionale."
IL-CONFIG-005,"<p>La Ideal Lux Arcadia Pt1 è una lampada da terra per esterni dal design curato, ideale per illuminare giardini, terrazze, vialetti, ingressi e aree outdoor con una luce elegante e funzionale. Integra dimensioni Ø34.7cm × H153.6cm, struttura in metallo e ps, con 1 luce, attacco E27, potenza 42W, alimentazione 220-240 V AC, grado di protezione IP44, classe 2, peso netto 6,5 kg, caratteristiche che la rendono una soluzione pratica, resistente e facile da inserire in diversi progetti di illuminazione. La configurazione disponibile è Grigio, pensata per integrarsi con finiture e materiali coordinati all’ambiente.</p>","<p>La Ideal Lux Arcadia Pt1 è una lampada da terra per esterni pensata per offrire un punto luce decorativo e funzionale, capace di valorizzare giardini, terrazze, vialetti, ingressi e aree outdoor. Il design della collezione Arcadia Pt1 unisce linee curate e finiture versatili, rendendola adatta a progetti di illuminazione moderni, residenziali e contract.</p><p>Il grado di protezione IP44 la rende adatta agli spazi esterni e agli ambienti esposti, mantenendo una buona affidabilità nell’uso quotidiano. Dal punto di vista tecnico, questa lampada presenta dimensioni Ø34.7cm × H153.6cm, struttura in metallo e ps, con 1 luce, attacco E27, potenza 42W, alimentazione 220-240 V AC, grado di protezione IP44, classe 2, peso netto 6,5 kg, dati che aiutano a scegliere il modello più adatto in base a dimensioni, prestazioni e contesto di installazione.</p><p>La configurazione disponibile è Grigio, pensata per integrarsi con finiture e materiali coordinati all’ambiente.</p><p>Scegliere la Ideal Lux Arcadia Pt1 significa puntare su una lampada da terra per esterni dal carattere riconoscibile, progettata per completare lo spazio con una luce piacevole, efficiente e coerente con lo stile dell’ambiente.</p>","Lampada da terra Ideal Lux Arcadia Pt1 per esterni in Grigio: IP44 42W ideale per giardino, terrazzo e vialetti, con design moderno e funzionale."
IL-CONFIG-006,"<p>La Ideal Lux Atena Pt1 è una lampada da terra per esterni dal design curato, ideale per illuminare giardini, terrazze, vialetti, ingressi e aree outdoor con una luce elegante e funzionale. Integra dimensioni Ø15.5cm × H80cm, struttura in ps e resina, con 1 luce, attacco E27, potenza 23W, alimentazione 220-240 V AC, grado di protezione IP55, classe 2, lampadina inclusa, peso netto 1,07 kg, caratteristiche che la rendono una soluzione pratica, resistente e facile da inserire in diversi progetti di illuminazione. Le configurazioni disponibili comprendono Bianco D 155 × H 800 mm, Grigio D 155 × H 800 mm e Nero D 155 × H 800 mm. In questo modo è possibile scegliere tra finiture Bianco, Grigio e Nero in base al progetto illuminotecnico.</p>","<p>La Ideal Lux Atena Pt1 è una lampada da terra per esterni pensata per offrire un punto luce decorativo e funzionale, capace di valorizzare giardini, terrazze, vialetti, ingressi e aree outdoor. Il design della collezione Atena Pt1 unisce linee curate e finiture versatili, rendendola adatta a progetti di illuminazione moderni, residenziali e contract.</p><p>Il grado di protezione IP55 la rende adatta agli spazi esterni e agli ambienti esposti, mantenendo una buona affidabilità nell’uso quotidiano. Dal punto di vista tecnico, questa lampada presenta dimensioni Ø15.5cm × H80cm, struttura in ps e resina, con 1 luce, attacco E27, potenza 23W, alimentazione 220-240 V AC, grado di protezione IP55, classe 2, lampadina inclusa, peso netto 1,07 kg, dati che aiutano a scegliere il modello più adatto in base a dimensioni, prestazioni e contesto di installazione.</p><p>Le configurazioni disponibili comprendono Bianco D 155 × H 800 mm, Grigio D 155 × H 800 mm e Nero D 155 × H 800 mm. In questo modo è possibile scegliere tra finiture Bianco, Grigio e Nero in base al progetto illuminotecnico.</p><p>Scegliere la Ideal Lux Atena Pt1 significa puntare su una lampada da terra per esterni dal carattere riconoscibile, progettata per completare lo spazio con una luce piacevole, efficiente e coerente con lo stile dell’ambiente.</p>","Lampada da terra Ideal Lux Atena Pt1 per esterni in Bianco, Grigio e Nero: IP55 23W ideale per giardino, terrazzo e vialetti, con design moderno e funzionale."
IL-CONFIG-007,"<p>La Ideal Lux Axel Pt1 è una lampada da terra per interni dal design curato, ideale per illuminare soggiorni, camere, studi, zone living e ambienti contract con una luce elegante e funzionale. Integra dimensioni L30cm × H168cm × P30cm, struttura in legno e tessuto, con 1 luce, attacco E27, potenza 60W, alimentazione 220-240 V AC, grado di protezione IP20, classe 2, peso netto 5,2 kg, caratteristiche che la rendono una soluzione pratica, resistente e facile da inserire in diversi progetti di illuminazione. Le configurazioni disponibili comprendono Bianco L 300 × H 1680 × P 300 mm e Nero L 300 × H 1680 × P 300 mm. In questo modo è possibile scegliere tra finiture Bianco e Nero in base al progetto illuminotecnico.</p>","<p>La Ideal Lux Axel Pt1 è una lampada da terra per interni pensata per offrire un punto luce decorativo e funzionale, capace di valorizzare soggiorni, camere, studi, zone living e ambienti contract. Il design della collezione Axel Pt1 unisce linee curate e finiture versatili, rendendola adatta a progetti di illuminazione moderni, residenziali e contract.</p><p>Il grado di protezione IP20 è coerente con l’uso in ambienti interni, dove comfort visivo e resa estetica sono elementi centrali. Dal punto di vista tecnico, questa lampada presenta dimensioni L30cm × H168cm × P30cm, struttura in legno e tessuto, con 1 luce, attacco E27, potenza 60W, alimentazione 220-240 V AC, grado di protezione IP20, classe 2, peso netto 5,2 kg, dati che aiutano a scegliere il modello più adatto in base a dimensioni, prestazioni e contesto di installazione.</p><p>Le configurazioni disponibili comprendono Bianco L 300 × H 1680 × P 300 mm e Nero L 300 × H 1680 × P 300 mm. In questo modo è possibile scegliere tra finiture Bianco e Nero in base al progetto illuminotecnico.</p><p>Scegliere la Ideal Lux Axel Pt1 significa puntare su una lampada da terra per interni dal carattere riconoscibile, progettata per completare lo spazio con una luce piacevole, efficiente e coerente con lo stile dell’ambiente.</p>","Lampada da terra Ideal Lux Axel Pt1 per interni in Bianco e Nero: IP20 60W ideale per soggiorno, studio e zona living, con design moderno e funzionale."
IL-CONFIG-008,"<p>La Ideal Lux Binomio Pt3 è una lampada da terra per interni dal design curato, ideale per illuminare soggiorni, camere, studi, zone living e ambienti contract con una luce elegante e funzionale. Integra dimensioni Ø25cm × H160.9cm, struttura in metallo e vetro, con 3 luci, attacco G9, potenza 3 x 4W, alimentazione 220-240 V AC, grado di protezione IP20, classe 2, lampadina inclusa, peso netto 4,5 kg, caratteristiche che la rendono una soluzione pratica, resistente e facile da inserire in diversi progetti di illuminazione. Le configurazioni disponibili comprendono Bianco D 250 × H 1609 mm, Nero D 250 × H 1609 mm e Ottone D 250 × H 1609 mm. In questo modo è possibile scegliere tra finiture Bianco, Nero e Ottone in base al progetto illuminotecnico.</p>","<p>La Ideal Lux Binomio Pt3 è una lampada da terra per interni pensata per offrire un punto luce decorativo e funzionale, capace di valorizzare soggiorni, camere, studi, zone living e ambienti contract. Il design della collezione Binomio Pt3 unisce linee curate e finiture versatili, rendendola adatta a progetti di illuminazione moderni, residenziali e contract.</p><p>Il grado di protezione IP20 è coerente con l’uso in ambienti interni, dove comfort visivo e resa estetica sono elementi centrali. Dal punto di vista tecnico, questa lampada presenta dimensioni Ø25cm × H160.9cm, struttura in metallo e vetro, con 3 luci, attacco G9, potenza 3 x 4W, alimentazione 220-240 V AC, grado di protezione IP20, classe 2, lampadina inclusa, peso netto 4,5 kg, dati che aiutano a scegliere il modello più adatto in base a dimensioni, prestazioni e contesto di installazione.</p><p>Le configurazioni disponibili comprendono Bianco D 250 × H 1609 mm, Nero D 250 × H 1609 mm e Ottone D 250 × H 1609 mm. In questo modo è possibile scegliere tra finiture Bianco, Nero e Ottone in base al progetto illuminotecnico.</p><p>Scegliere la Ideal Lux Binomio Pt3 significa puntare su una lampada da terra per interni dal carattere riconoscibile, progettata per completare lo spazio con una luce piacevole, efficiente e coerente con lo stile dell’ambiente.</p>","Ideal Lux Binomio Pt3: lampada da terra per interni IP20, design moderno per soggiorno, studio e zona living. Scopri varianti e finiture."
IL-CONFIG-009,"<p>La Ideal Lux Binomio Pt4 Led è una lampada da terra per interni dal design curato, ideale per illuminare soggiorni, camere, studi, zone living e ambienti contract con una luce elegante e funzionale. Integra dimensioni L22cm × H155cm × P22cm, struttura in metallo e vetro, con 4 luci, attacco LED, potenza 12W, alimentazione 220-240 V AC, grado di protezione IP20, classe 2, lampadina inclusa, peso netto 2,5 kg, caratteristiche che la rendono una soluzione pratica, resistente e facile da inserire in diversi progetti di illuminazione. Le configurazioni disponibili comprendono Bianco L 220 × H 1550 × P 220 mm, Nero L 220 × H 1550 × P 220 mm e Ottone L 220 × H 1550 × P 220 mm. In questo modo è possibile scegliere tra finiture Bianco, Nero e Ottone in base al progetto illuminotecnico.</p>","<p>La Ideal Lux Binomio Pt4 Led è una lampada da terra per interni pensata per offrire un punto luce decorativo e funzionale, capace di valorizzare soggiorni, camere, studi, zone living e ambienti contract. Il design della collezione Binomio Pt4 Led unisce linee curate e finiture versatili, rendendola adatta a progetti di illuminazione moderni, residenziali e contract.</p><p>Il grado di protezione IP20 è coerente con l’uso in ambienti interni, dove comfort visivo e resa estetica sono elementi centrali. Dal punto di vista tecnico, questa lampada presenta dimensioni L22cm × H155cm × P22cm, struttura in metallo e vetro, con 4 luci, attacco LED, potenza 12W, alimentazione 220-240 V AC, grado di protezione IP20, classe 2, lampadina inclusa, peso netto 2,5 kg, dati che aiutano a scegliere il modello più adatto in base a dimensioni, prestazioni e contesto di installazione.</p><p>Le configurazioni disponibili comprendono Bianco L 220 × H 1550 × P 220 mm, Nero L 220 × H 1550 × P 220 mm e Ottone L 220 × H 1550 × P 220 mm. In questo modo è possibile scegliere tra finiture Bianco, Nero e Ottone in base al progetto illuminotecnico.</p><p>Scegliere la Ideal Lux Binomio Pt4 Led significa puntare su una lampada da terra per interni dal carattere riconoscibile, progettata per completare lo spazio con una luce piacevole, efficiente e coerente con lo stile dell’ambiente.</p>","Ideal Lux Binomio Pt4 Led: lampada da terra per interni IP20, design moderno per soggiorno, studio e zona living. Scopri varianti e finiture."
IL-CONFIG-010,"<p>La Ideal Lux Birds Pt5 è una lampada da terra per interni dal design curato, ideale per illuminare soggiorni, camere, studi, zone living e ambienti contract con una luce elegante e funzionale. Integra dimensioni L30cm × H160cm × P44cm, struttura in metallo e vetro, con 5 luci, attacco G9, potenza 5 x 15W, alimentazione 220-240 V AC, grado di protezione IP20, classe 2, lampadina inclusa, peso netto 5,64 kg, caratteristiche che la rendono una soluzione pratica, resistente e facile da inserire in diversi progetti di illuminazione. La configurazione disponibile è Nero, pensata per integrarsi con finiture e materiali coordinati all’ambiente.</p>","<p>La Ideal Lux Birds Pt5 è una lampada da terra per interni pensata per offrire un punto luce decorativo e funzionale, capace di valorizzare soggiorni, camere, studi, zone living e ambienti contract. Il design della collezione Birds Pt5 unisce linee curate e finiture versatili, rendendola adatta a progetti di illuminazione moderni, residenziali e contract.</p><p>Il grado di protezione IP20 è coerente con l’uso in ambienti interni, dove comfort visivo e resa estetica sono elementi centrali. Dal punto di vista tecnico, questa lampada presenta dimensioni L30cm × H160cm × P44cm, struttura in metallo e vetro, con 5 luci, attacco G9, potenza 5 x 15W, alimentazione 220-240 V AC, grado di protezione IP20, classe 2, lampadina inclusa, peso netto 5,64 kg, dati che aiutano a scegliere il modello più adatto in base a dimensioni, prestazioni e contesto di installazione.</p><p>La configurazione disponibile è Nero, pensata per integrarsi con finiture e materiali coordinati all’ambiente.</p><p>Scegliere la Ideal Lux Birds Pt5 significa puntare su una lampada da terra per interni dal carattere riconoscibile, progettata per completare lo spazio con una luce piacevole, efficiente e coerente con lo stile dell’ambiente.</p>","Lampada da terra Ideal Lux Birds Pt5 per interni in Nero: IP20 5 x 15W ideale per soggiorno, studio e zona living, con design moderno e funzionale."
